pft	par.names	par.prior	par.lower	par.upper	par.pftspecif	comment	sensitivity
TrBE	ALPHAA_TrBE	0.6321	0.1	0.9	TRUE	Forkel et al. 2014 BG	S
TrBE	ALBEDO_LEAF_TrBE	0.13	0	0.25	TRUE	Forkel et al. 2014 BG	S
TrBE	ALBEDO_STEM_TrBE	0.1	0.06	0.29	TRUE	Forkel et al. 2014 BG	N
TrBE	ALBEDO_LITTER_TrBE	0.1	0.06	0.24	TRUE	Forkel et al. 2014 BG	N
TrBE	SNOWCANOPYFRAC_TrBE	0.4	0.1	0.9	TRUE	Forkel et al. 2014 BG	N
TrBE	LIGHTEXTCOEFF_TrBE	0.5174	0.1	1.5	TRUE	Forkel et al. 2014 BG	S
TrBE	TMIN_SL_TrBE	1.01	0.19	1.93	TRUE	Forkel et al. 2014 BG	N
TrBE	TMIN_BASE_TrBE	8.3	-50	50	TRUE	Forkel et al. 2014 BG	S
TrBE	TMIN_TAU_TrBE	0.2	0.01	0.9	TRUE	Forkel et al. 2014 BG	N
TrBE	TMAX_SL_TrBE	1.86	0.12	2.98	TRUE	Forkel et al. 2014 BG	N
TrBE	TMAX_BASE_TrBE	1000	999	1001	TRUE	Forkel et al. 2014 BG	N
TrBE	TMAX_TAU_TrBE	0.2	0.01	0.9	TRUE	Forkel et al. 2014 BG	N
TrBE	LIGHT_SL_TrBE	77.17	0.05	157	TRUE	Forkel et al. 2014 BG	N
TrBE	LIGHT_BASE_TrBE	55.53	-100	200	TRUE	Forkel et al. 2014 BG	S
TrBE	LIGHT_TAU_TrBE	0.52	0.01	0.9	TRUE	Forkel et al. 2014 BG	N
TrBE	WATER_SL_TrBE	5.14	0.1	9.02	TRUE	Forkel et al. 2014 BG	N
TrBE	WATER_BASE_TrBE	4.997	-100	100	TRUE	Forkel et al. 2014 BG	S
TrBE	WATER_TAU_TrBE	0.44	0.01	0.85	TRUE	Forkel et al. 2014 BG	N
TrBE	MORT_MAX_TrBE	0.03	0.01	0.06	TRUE	LPJmL default	S
TrBE	K_EST_TrBE	0.12	0.01	0.3	TRUE	LPJmL default	S
TrBE	TWMAX_TrBE	1000	999	1001	TRUE	LPJmL default	N
TrBE	TSAP_TrBE	20	5	50	TRUE	LPJmL default	S
TrBR	ALPHAA_TrBR	0.5153	0.22	0.89	TRUE	LPJmL default	S
TrBR	ALBEDO_LEAF_TrBR	0.12	0	0.25	TRUE	LPJmL default	S
TrBR	ALBEDO_STEM_TrBR	0.1	0.06	0.2	TRUE	LPJmL default	N
TrBR	ALBEDO_LITTER_TrBR	0.1	0.06	0.24	TRUE	LPJmL default	N
TrBR	SNOWCANOPYFRAC_TrBR	0.4	0.1	0.9	TRUE	LPJmL default	N
TrBR	LIGHTEXTCOEFF_TrBR	0.7439	0.2	1.5	TRUE	LPJmL default	S
TrBR	TMIN_SL_TrBR	0.24	0.1	2	TRUE	LPJmL default	N
TrBR	TMIN_BASE_TrBR	7.66	-50	50	TRUE	LPJmL default	S
TrBR	TMIN_TAU_TrBR	0.2	0.01	0.9	TRUE	LPJmL default	N
TrBR	TMAX_SL_TrBR	1.625	0.15	2.88	TRUE	LPJmL default	N
TrBR	TMAX_BASE_TrBR	38.64	25	1000	TRUE	LPJmL default	S
TrBR	TMAX_TAU_TrBR	0.2	0.01	0.9	TRUE	LPJmL default	N
TrBR	LIGHT_SL_TrBR	23	0.05	94	TRUE	LPJmL default	N
TrBR	LIGHT_BASE_TrBR	13.01	-100	200	TRUE	LPJmL default	S
TrBR	LIGHT_TAU_TrBR	0.2	0.01	0.9	TRUE	LPJmL default	N
TrBR	WATER_SL_TrBR	7.97	0.1	9.24	TRUE	LPJmL default	N
TrBR	WATER_BASE_TrBR	22.21	-100	100	TRUE	LPJmL default	S
TrBR	WATER_TAU_TrBR	0.1348	0.01	0.9	TRUE	LPJmL default	N
TrBR	MORT_MAX_TrBR	0.03	0.01	0.06	TRUE	LPJmL default	S
TrBR	K_EST_TrBR	0.12	0.01	0.3	TRUE	LPJmL default	S
TrBR	TWMAX_TrBR	1000	999	1001	TRUE	LPJmL default	N
TrBR	TSAP_TrBR	20	5	50	TRUE	LPJmL default	S
